Instance_Index,True_Label,Predicted_Label,Explanation
0,1,0,"[('0.49 < ExpCDR <= 0.56', -0.1605919073870978), ('0.00 < Eye <= 1.00', 0.06021126599703727), ('0.00 < Set <= 1.00', 0.024744035104756402)]"
1,0,0,"[('0.00 < Eye <= 1.00', 0.07956657223610568), ('0.56 < ExpCDR <= 0.65', 0.07762936097056473), ('0.00 < Set <= 1.00', 0.04982008855184421)]"
2,1,1,"[('ExpCDR > 0.65', 0.4471670976611987), ('0.00 < Eye <= 1.00', 0.07395562491088795), ('0.00 < Set <= 1.00', 0.04473615076795345)]"
3,1,1,"[('ExpCDR > 0.65', 0.4380962237931741), ('Eye <= 0.00', -0.06808421668233602), ('0.00 < Set <= 1.00', 0.03106242476920762)]"
4,0,0,"[('0.49 < ExpCDR <= 0.56', -0.14457869786181596), ('Eye <= 0.00', -0.03409516651866747), ('Set <= 0.00', -0.029493880937918212)]"
5,0,0,"[('Eye <= 0.00', -0.05079467962841589), ('0.56 < ExpCDR <= 0.65', 0.032733983799060874), ('Set <= 0.00', -0.024184242379962938)]"
6,1,0,"[('Eye <= 0.00', -0.0631418595045521), ('0.56 < ExpCDR <= 0.65', 0.0630098987399228), ('0.00 < Set <= 1.00', 0.03473369550809957)]"
7,0,0,"[('ExpCDR <= 0.49', -0.3385282433832086), ('0.00 < Eye <= 1.00', 0.04079491054489677), ('Set <= 0.00', -0.032443320773199766)]"
8,0,1,"[('ExpCDR > 0.65', 0.4356644496070158), ('Eye <= 0.00', -0.07109841340996342), ('0.00 < Set <= 1.00', 0.04059692527228211)]"
9,1,1,"[('ExpCDR > 0.65', 0.421121224280581), ('Eye <= 0.00', -0.07398904213865842), ('0.00 < Set <= 1.00', 0.020251637535514157)]"
10,1,1,"[('ExpCDR > 0.65', 0.4443396606126956), ('0.00 < Eye <= 1.00', 0.045869852302985806), ('Set <= 0.00', -0.04472068195847177)]"
11,0,0,"[('Eye <= 0.00', -0.06236861794280157), ('0.56 < ExpCDR <= 0.65', 0.05157200596971293), ('0.00 < Set <= 1.00', 0.033832953391844216)]"
12,0,0,"[('ExpCDR <= 0.49', -0.35269695723739114), ('0.00 < Eye <= 1.00', 0.05525912801608669), ('Set <= 0.00', -0.026476965246380144)]"
13,0,0,"[('0.49 < ExpCDR <= 0.56', -0.1491879353286999), ('Eye <= 0.00', -0.054083427022467115), ('Set <= 0.00', -0.03705727326653478)]"
14,0,0,"[('ExpCDR <= 0.49', -0.317947841890571), ('Eye <= 0.00', -0.05307354985011439), ('Set <= 0.00', -0.03469217998602446)]"
15,0,0,"[('ExpCDR > 0.65', 0.4501020574871714), ('0.00 < Eye <= 1.00', 0.06280558678725975), ('Set <= 0.00', -0.040372732780592425)]"
16,0,0,"[('ExpCDR > 0.65', 0.44047296164049665), ('0.00 < Eye <= 1.00', 0.05828479794229015), ('Set <= 0.00', -0.033834004310565886)]"
17,1,1,"[('ExpCDR > 0.65', 0.4477642581516958), ('0.00 < Eye <= 1.00', 0.0652783051175811), ('0.00 < Set <= 1.00', 0.0340030582626052)]"
18,0,1,"[('ExpCDR > 0.65', 0.4420696185658735), ('0.00 < Eye <= 1.00', 0.054243866154051905), ('Set <= 0.00', -0.03835739036761784)]"
19,0,0,"[('Eye <= 0.00', -0.06801667525428959), ('Set <= 0.00', -0.049142165875870655), ('0.56 < ExpCDR <= 0.65', 0.04044272973232889)]"
20,0,1,"[('0.00 < Eye <= 1.00', 0.06732616110264862), ('0.56 < ExpCDR <= 0.65', 0.05947505266081738), ('0.00 < Set <= 1.00', 0.049535787218193225)]"
21,0,0,"[('0.49 < ExpCDR <= 0.56', -0.14849465904839151), ('0.00 < Eye <= 1.00', 0.04344419508686379), ('Set <= 0.00', -0.03452220533521625)]"
22,1,1,"[('ExpCDR > 0.65', 0.44224843635636785), ('0.00 < Eye <= 1.00', 0.06795395427937842), ('0.00 < Set <= 1.00', 0.039795883501585305)]"
23,0,0,"[('Eye <= 0.00', -0.06072035139341394), ('Set <= 0.00', -0.041981791909835836), ('0.56 < ExpCDR <= 0.65', 0.030523992274317038)]"
24,0,0,"[('0.49 < ExpCDR <= 0.56', -0.16137618178189853), ('Eye <= 0.00', -0.05714228419783225), ('0.00 < Set <= 1.00', 0.038030149535089486)]"
25,0,1,"[('ExpCDR > 0.65', 0.4255852305245547), ('Eye <= 0.00', -0.08082715556976179), ('0.00 < Set <= 1.00', 0.023937499831589836)]"
26,0,0,"[('Eye <= 0.00', -0.06770815538080874), ('0.56 < ExpCDR <= 0.65', 0.05280071825280526), ('0.00 < Set <= 1.00', 0.0348840437189777)]"
27,1,1,"[('0.00 < Eye <= 1.00', 0.07689464979180659), ('0.56 < ExpCDR <= 0.65', 0.06737472183176363), ('0.00 < Set <= 1.00', 0.03572674823832735)]"
